เลขเอกสาร,ชื่อกฎหมาย
100202,กฎกระทรวงกำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระดาษสัมผัสอาหารต้องเป็นไปตามมาตรฐาน พ.ศ. 2568
100203,กฎกระทรวงกำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระดาษสัมผัสอาหารสำหรับปรุงอาหารด้วยความร้อนต้องเป็นไปตามมาตรฐาน พ.ศ. 2568
100222,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง กำหนดวัน และเวลาให้องค์กรหรือสมาคมที่เกี่ยวข้องยื่นคำขอลงทะเบียนใช้สิทธิออกเสียงลงคะแนนก่อนวันเลือกตั้งสำหรับคนพิการหรือทุพพลภาพ หรือผู้สูงอายุ
100223,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง หลักเกณฑ์และวิธีการการจัดให้มีการแสดงความคิดเห็นในเรื่องที่จะต้องจัดทำประชามติ พ.ศ. 2568
100224,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการออกเสียงประชามตินอกราชอาณาจักรที่กำหนดวันออกเสียงประชามติในวันเดียวกับวันเลือกตั้งสมาชิกสภาผู้แทนราษฎรใหม่ เป็นการเลือกตั้งทั่วไป พ.ศ. 2568
100399,ประกาศประธานศาลปกครองสูงสุด เรื่อง รายชื่อผู้ได้รับเลือกเป็นกรรมการข้าราชการฝ่ายศาลปกครองผู้ทรงคุณวุฒิ ตามมาตรา 81 วรรคหนึ่ง (4) แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 และที่แก้ไขเพิ่มเติม
100564,กฎกระทรวงกำหนดพิกัดอัตราภาษีสรรพสามิต (ฉบับที่ 46) พ.ศ. 2568
100575,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง แนวทางดำเนินการการจัดการเลือกตั้งสมาชิกสภาผู้แทนราษฎรในเขตเลือกตั้งที่มีสถานการณ์ความไม่สงบบริเวณพื้นที่ชายแดนไทย - กัมพูชา
10061,ประกาศสำนักงานศาลรัฐธรรมนูญ เรื่อง พระราชบัญญัติให้ใช้ประมวลกฎหมายยาเสพติด พ.ศ. 2564 มาตรา 21 วรรคหนึ่ง ไม่ขัดหรือแย้งต่อรัฐธรรมนูญ มาตรา 26 วรรคหนึ่้ง และมาตรา 29 วรรคสอง [คำวินิจฉัยที่ 15/2566]
100682,"คำวินิจฉัยของศาลรัฐธรรมนูญ คำวินิจฉัยที่ 25/2568 เรื่อง พระราชบัญญัติควบคุมอาคาร พ.ศ. 2522 มาตรา 40 เฉพาะในส่วนที่บัญญัติว่า ""ในกรณีที่มีการก่อสร้าง ดัดแปลง รื้อถอน หรือเคลื่อนย้ายอาคาร โดยฝ่าฝืนกฎหมายอื่นที่เกี่ยวข้อง"" ขัดหรือแย้งต่อรัฐธรรมนูญ มาตรา 26 วรรคหนึ่ง ประกอบมาตรา 37 วรรคหนึ่ง และมาตรา 29 วรรคหนึ่ง หรือไม่ [ระหว่าง ศาลปกครองสูงสุด ผู้ร้อง - ผู้ถูกร้อง]"
10082,พระราชกฤษฎีกาปิดประชุมรัฐสภาสมัยประชุมสามัญประจำปีครั้งที่หนึ่ง พ.ศ. 2566
100830,ระเบียบคณะกรรมการสิทธิมนุษยชนแห่งชาติ ว่าด้วยค่าใช้จ่ายในการฝึกอบรม การจัดงาน และการประชุมระหว่างประเทศ (ฉบับที่ 2) พ.ศ. 2568
